"farm_name","state","district","plot_id","crop","rainfall","temperature","soil_moisture"
"Punjab Agro","Punjab","Ludhiana","cmco4e02z001e5frpqxsc7ekr","Basmati Rice",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e035001g5frpl5xezakc","Sona Masuri Rice",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e03c001i5frp7qrgykc8","Wheat",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e03g001k5frpegf0z3uh","Sugarcane",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e03j001m5frpj2sz064c","Cotton",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e03n001o5frpllbs7tsx","Sona Masuri Rice",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e03q001q5frpr8z4kq4l","Wheat",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e03w001s5frphalh0g4b","Sugarcane",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e041001u5frpm58em8rp","Cotton",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e043001w5frpuyv8bqsv","Maize",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e049001y5frpddkxbdtu","Wheat",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04d00205frp951vpfxw","Sugarcane",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04f00225frpts8caoi2","Cotton",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04h00245frpquie868y","Maize",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04k00265frpejk82t9t","Pigeon Pea",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e04q00285frpw9ut72vx","Sugarcane",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e04u002a5frpjxwbc311","Cotton",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e04x002c5frptmgsjfum","Maize",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e050002e5frpyup8pkrm","Pigeon Pea",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e052002g5frp72v7cnb0","Chickpea",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05b002i5frpfrqf67tv","Cotton",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05e002k5frpr8nznvja","Maize",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05g002m5frpdmn2lstf","Pigeon Pea",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05j002o5frpvh3mz7cz","Chickpea",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05p002q5frpi62eb01n","Groundnut",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e05u002s5frpol5e442o","Maize",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e05w002u5frpyo3cq7pw","Pigeon Pea",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e05z002w5frpchce6gr3","Chickpea",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e064002y5frpsdu0kyby","Groundnut",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e06800305frp2d473d18","Soybean",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06d00325frpjjxl8ply","Pigeon Pea",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06g00345frpifv1kskq","Chickpea",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06l00365frpg5bom0j3","Groundnut",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06p00385frpgl3x0a5b","Soybean",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06s003a5frpfxhujzm4","Pearl Millet",,,
