id,cropType,cropCount,waterLevel,moistureLevel,growthStage,row,column
1,Corn,50,75.5,60.2,Vegetative,0,0
2,Corn,45,72.1,58.9,Vegetative,0,1
3,Corn,52,78.3,62.1,Vegetative,0,2
4,Wheat,30,65.2,55.8,Seedling,0,3
5,Wheat,28,63.7,54.2,Seedling,0,4
6,Wheat,32,67.1,56.9,Seedling,0,5
7,Soybeans,40,70.5,59.3,Budding,1,0
8,Soybeans,38,68.9,57.8,Budding,1,1
9,Soybeans,42,72.1,60.1,Budding,1,2
10,Tomatoes,25,80.2,65.4,Flowering,1,3
11,Tomatoes,23,78.6,63.9,Flowering,1,4
12,Tomatoes,27,82.1,66.8,Flowering,1,5
13,Potatoes,35,68.3,58.7,Vegetative,2,0
14,Potatoes,33,66.8,57.2,Vegetative,2,1
15,Potatoes,37,70.1,59.8,Vegetative,2,2
16,Carrots,20,72.5,61.3,Seedling,2,3
17,Carrots,18,70.9,59.8,Seedling,2,4
18,Carrots,22,74.2,62.7,Seedling,2,5
19,Strawberries,15,75.8,63.9,Fruiting,3,0
20,Strawberries,13,74.2,62.4,Fruiting,3,1
21,Strawberries,17,77.5,65.3,Fruiting,3,2
22,Lettuce,12,69.4,58.6,Mature,3,3
23,Lettuce,10,67.8,57.1,Mature,3,4
24,Lettuce,14,71.1,59.9,Mature,3,5 
